Country_Code,Cuisines,Rating,Rating_text,Votes
216,"Italian, Pizza, Sandwich",4.4,Very Good,1098
216,"Burger, Bar Food",4.2,Very Good,579
216,"Desserts, Latin American, Argentine",4.1,Very Good,374
216,"Chinese, Steak",4.6,Excellent,717
216,"American, Caribbean, Seafood",4.9,Excellent,548
216,"International, Tapas, Vegetarian",4.5,Excellent,631
216,"Desserts, Sandwich, Southern",3.9,Good,372
216,"American, Burger",3.9,Good,201
216,"Breakfast, French",3.8,Good,332
216,BBQ,3.5,Good,304
216,American,4.3,Very Good,368
216,"Desserts, Italian, Pizza",4.1,Very Good,430
216,"Italian, Pizza, Sandwich",4.4,Very Good,433
216,Mexican,4,Very Good,380
216,"Bar Food, Sandwich, Seafood",4,Very Good,456
216,"Mexican, Southwestern, Sushi",4.2,Very Good,647
216,Steak,4,Very Good,360
216,Indian,4,Very Good,227
216,German,3.9,Good,290
216,Vietnamese,4.1,Very Good,270
216,"Burger, Seafood",4,Very Good,326
216,Thai,4.3,Very Good,317
216,Mexican,4.2,Very Good,300
14,Modern Australian,3.2,Average,21
14,"Pizza, Bar Food",4.6,Excellent,237
216,"American, Bar Food",4.5,Excellent,879
216,"Italian, Pizza",4.6,Excellent,615
216,"Breakfast, Sandwich",4.5,Excellent,879
216,"American, Seafood, Steak",3.9,Good,379
216,"European, Spanish",4.3,Very Good,303
216,"Latin American, Steak",4.1,Very Good,538
216,"American, Burger, Sandwich",4.2,Very Good,334
216,"American, Bar Food",4.3,Very Good,555
216,"American, Burger",4.4,Very Good,823
216,Pizza,4.1,Very Good,550
216,"American, Burger",4.4,Very Good,650
216,Pizza,4.3,Very Good,410
216,Mexican,4.4,Very Good,660
216,"Italian, Seafood, Vegetarian",4.4,Very Good,360
216,"Sushi, Thai",4,Very Good,340
216,"Japanese, Sushi, Teriyaki",4.1,Very Good,393
216,Breakfast,4.3,Very Good,422
216,Brazilian,4,Very Good,435
216,"American, BBQ, Steak",4,Very Good,369
216,American,4.4,Very Good,487
216,"American, Mediterranean, Seafood",3.7,Good,98
216,"Italian, Pizza",4.1,Very Good,365
216,Mexican,4.1,Very Good,190
216,"American, Breakfast, Burger",4.1,Very Good,429
216,"American, BBQ, Burger",4.4,Very Good,430
216,Indian,4.2,Very Good,186
216,"Chinese, Sushi, Thai",4.2,Very Good,220
216,Chinese,4.2,Very Good,347
216,"American, Italian, Pizza",3.8,Good,161
216,Indian,4.1,Very Good,160
216,Burger,4.9,Excellent,820
216,"American, Breakfast, Burger",4.5,Excellent,488
216,"Breakfast, Diner",3.6,Good,253
216,"American, International, Sushi",3.8,Good,220
216,Pizza,4.3,Very Good,485
216,International,4.3,Very Good,428
216,"American, Breakfast",4.1,Very Good,294
216,"Mediterranean, Tapas, Vegetarian",4,Very Good,380
216,BBQ,4.2,Very Good,259
216,"Pizza, Sandwich",4.7,Excellent,433
37,"Japanese, Sushi",3.7,Good,176
216,"American, Breakfast, Desserts",4.3,Very Good,96
216,"Asian, Japanese",3.1,Average,6
216,"Asian, Vietnamese",3.3,Average,33
216,"American, Seafood, Cajun",4.6,Excellent,489
216,American,4.5,Excellent,345
216,"Burger, Bar Food, Southern",3.8,Good,149
216,"Pizza, Bar Food",3.9,Good,330
216,"Japanese, Steak",3.9,Good,247
216,"Breakfast, Diner, Southern",3.7,Good,123
216,"Japanese, Steak, Sushi",3.6,Good,109
216,"Japanese, Sushi, Thai",3.7,Good,134
216,"Seafood, Steak, Vegetarian",4.2,Very Good,722
216,Steak,4.3,Very Good,213
216,Chinese,4,Very Good,335
216,"BBQ, Southern",4,Very Good,353
216,"Italian, Pizza",4,Very Good,170
216,Pizza,4.1,Very Good,192
216,"American, Tapas",4.1,Very Good,302
216,"Asian, Chinese",4.2,Very Good,355
216,American,4.3,Very Good,287
216,"Italian, Mediterranean, Pizza",4,Very Good,264
216,"American, Seafood, Steak",4.4,Very Good,235
37,"Chinese, Canadian",3,Average,6
216,"American, BBQ, Southern",3.7,Good,38
216,"Desserts, Sandwich",4.4,Very Good,122
216,BBQ,4.4,Very Good,207
216,"Mexican, Tex-Mex",3.9,Good,66
216,"BBQ, Breakfast, Southern",4.9,Excellent,249
216,American,3.8,Good,63
216,"Japanese, Sushi",3.8,Good,145
216,Mexican,3.8,Good,83
216,Italian,3.7,Good,116
216,"American, Burger",4.1,Very Good,122
216,Fast Food,4.1,Very Good,142
216,Mexican,4.1,Very Good,114
216,"American, Japanese, Sushi",4.6,Excellent,214
216,Japanese,4.3,Very Good,116
216,Thai,4.2,Very Good,111
216,"Desserts, Sandwich",3.7,Good,25
216,BBQ,4.1,Very Good,128
216,"American, Diner, Southern",4.3,Very Good,244
216,"American, BBQ, Southern",4.2,Very Good,112
216,"Italian, Pizza",4.1,Very Good,144
216,"Indian, Mediterranean, Middle Eastern",4.6,Excellent,166
216,"Sushi, Teriyaki",4.5,Excellent,208
216,"Burger, Pizza",3.9,Good,136
216,"American, Breakfast, Greek",4,Very Good,85
216,Italian,4.1,Very Good,117
216,"American, Breakfast",3.4,Average,53
216,Asian,4.9,Excellent,474
216,Fast Food,3.9,Good,125
216,"American, French",3.7,Good,201
216,"American, Bar Food, BBQ",0,Not rated,2
216,Mexican,0,Not rated,3
216,Mexican,4.3,Very Good,167
216,Chinese,4,Very Good,112
216,Thai,4.1,Very Good,256
216,American,4.3,Very Good,123
216,American,4,Very Good,199
216,Mexican,4.1,Very Good,157
216,American,4.1,Very Good,100
216,"Japanese, Sushi",4.2,Very Good,141
216,"American, BBQ, Steak",4.2,Very Good,197
216,"BBQ, Burger, Desserts",4.5,Excellent,1025
216,"American, Coffee and Tea",4.9,Excellent,570
216,"BBQ, Caribbean, Cajun",4.5,Excellent,674
216,"Asian, Sushi, Thai",4.1,Very Good,496
216,"Asian, Chinese",4,Very Good,411
216,"Latin American, Mexican",3.2,Average,113
216,"Italian, Pizza",4.5,Excellent,1109
216,"Chinese, Pizza",4.6,Excellent,728
216,"Asian, Vegetarian, Vietnamese, Bubble Tea",4.4,Very Good,659
216,"American, Pizza, Bar Food",4.2,Very Good,370
216,French,4.3,Very Good,532
216,"Japanese, Sushi",4.8,Excellent,860
216,"Burger, Desserts, Vegetarian",4.2,Very Good,943
216,"American, Italian",4.1,Very Good,476
216,Chinese,4.1,Very Good,218
216,"Breakfast, Mexican, Southwestern",4,Very Good,214
216,"American, BBQ",4.3,Very Good,699
216,"American, Breakfast",3.8,Good,308
216,Latin American,4,Very Good,157
216,"Seafood, Sushi",4.2,Very Good,530
14,"Coffee and Tea, Tea, Modern Australian",3.6,Good,29
216,Breakfast,3.4,Average,33
216,Seafood,3.3,Average,40
216,Mexican,3.4,Average,153
216,"American, BBQ, Seafood",3.3,Average,65
216,Italian,3.4,Average,58
216,"American, Burger, Sandwich",3.5,Good,100
216,Mexican,3.6,Good,156
216,"Desserts, Pizza, Ice Cream",3.5,Good,74
216,"American, Burger",3.6,Good,117
216,"Japanese, Steak, Sushi",3.7,Good,83
216,"American, Burger",3.6,Good,48
216,"International, Pizza",3.8,Good,198
216,Mexican,3.5,Good,126
216,"Breakfast, Pizza",3.5,Good,119
216,"American, Italian",3.6,Good,140
216,American,3.6,Good,159
216,"Italian, Pizza",3.6,Good,131
216,"American, Breakfast, Burger",3.5,Good,60
216,"American, Burger, Pizza, Cafe",3.7,Good,89
216,"American, Seafood, Steak",3.6,Good,72
14,Cafe,4.1,Very Good,56
216,Mexican,3.7,Good,83
14,"Tea, Modern Australian",3.5,Good,37
14,"Cafe, Australian",3.7,Good,29
216,"American, Sandwich, Seafood",4.4,Very Good,239
216,"BBQ, Burger, Seafood",4.1,Very Good,235
216,"American, Burger, Cajun",3.8,Good,88
216,,3.9,Good,209
216,BBQ,3.9,Good,133
216,"Chinese, Japanese, Thai",4.4,Very Good,267
216,"Bar Food, Seafood, Vegetarian",4.1,Very Good,171
216,Seafood,3.8,Good,107
216,"American, Southern",4.3,Very Good,164
216,"BBQ, Sandwich",4.1,Very Good,182
216,"Sandwich, Seafood, Cajun",4.9,Excellent,681
216,Thai,4.6,Excellent,357
216,BBQ,3.8,Good,89
216,"American, European, Sandwich",4.2,Very Good,350
216,Southern,4.3,Very Good,298
216,"American, Southern",4.2,Very Good,319
216,German,3.8,Good,114
216,"German, Ice Cream",3.9,Good,136
216,"Burger, German, Sandwich",2.2,Poor,108
216,"Italian, Pizza, Sandwich",4,Very Good,161
14,"Cafe, Coffee and Tea, Modern Australian",3.8,Good,192
14,"Italian, Fusion, Cafe",3.8,Good,93
14,"Breakfast, Modern Australian",4.1,Very Good,40
14,"Burger, Coffee and Tea, Modern Australian",3.7,Good,100
14,"Breakfast, Coffee and Tea",3.8,Good,97
216,"Burger, Desserts, Sandwich",3.6,Good,41
216,Thai,4.5,Excellent,799
14,"Breakfast, Coffee and Tea",3.6,Good,18
14,Cafe,3.5,Good,31
216,"Coffee and Tea, Cuban, Latin American",3.9,Good,146
216,"Pizza, Sandwich",4.9,Excellent,478
216,Seafood,4.6,Excellent,467
216,"Chinese, Thai",4.5,Excellent,302
216,"Burger, Desserts, Bar Food",4.5,Excellent,289
216,,3.8,Good,102
216,"American, Seafood",4.1,Very Good,293
216,Steak,4,Very Good,195
216,"Desserts, Greek, Sandwich",4.3,Very Good,244
216,"European, Italian, Mediterranean",4.2,Very Good,379
216,"Greek, Mediterranean, Vegetarian",4.2,Very Good,223
216,"American, Chinese, Sushi",3.7,Good,243
216,Italian,3.7,Good,104
216,"Japanese, Sushi, Thai",3.7,Good,153
216,"Pizza, Sandwich, Vegetarian",3.8,Good,323
216,Mexican,4.1,Very Good,181
216,"American, Greek, Seafood",4,Very Good,316
216,BBQ,4.2,Very Good,288
216,"Japanese, Sushi, Thai",4,Very Good,232
216,"Japanese, Steak, Sushi",4.1,Very Good,314
14,Asian,2.9,Average,11
216,"Breakfast, Burger",2.4,Poor,17
14,"Bar Food, Modern Australian",3.8,Good,176
216,,3.4,Average,11
216,"Italian, Pizza",3.6,Good,65
14,"Coffee and Tea, Modern Australian",2.4,Poor,193
216,"American, International, Southwestern",3.6,Good,30
216,"Spanish, Tapas",4.4,Very Good,981
216,Hawaiian,4.5,Excellent,1151
216,"American, Sandwich, Salad",4.7,Excellent,1341
216,Irish,4.3,Very Good,782
216,"New American, Tapas",4.6,Excellent,1293
216,"Brazilian, Steak",4.6,Excellent,2324
216,Caribbean,4.3,Very Good,910
216,Italian,4.4,Very Good,886
216,"Asian, Thai",4.6,Excellent,1293
216,"Asian, Latin American, Vegetarian",4.4,Very Good,570
216,American,4.4,Very Good,1685
216,German,4.8,Excellent,1699
216,"American, Sandwich, Tea",4.9,Excellent,1457
216,"American, BBQ, Sandwich",4.9,Excellent,1252
216,Cajun,4.7,Excellent,1412
216,"Southern, Cajun, Soul Food",3.6,Good,432
216,"Mediterranean, Turkish",4.2,Very Good,568
216,"American, Breakfast, Vegetarian",4.4,Very Good,797
216,,4.4,Very Good,1158
216,Pub Food,4.4,Very Good,1998
14,"Mediterranean, Seafood",4.4,Very Good,381
14,Modern Australian,2.6,Average,16
14,"Cafe, Coffee and Tea, Sandwich",3.4,Average,19
216,"Mexican, Southwestern, Tex-Mex",4.2,Very Good,635
216,"Burger, Bar Food, Steak",4.9,Excellent,2238
216,"Italian, Pizza, Sandwich",4.6,Excellent,792
216,"Asian, Vietnamese",4.5,Excellent,828
216,"Italian, Pizza, Seafood",3.7,Good,292
216,Tapas,3.9,Good,502
216,"Burger, Bar Food",3.7,Good,559
216,"Latin American, Mexican, Southwestern",4.2,Very Good,1268
216,"Seafood, Sushi",4.1,Very Good,669
216,"European, International, Tapas",4.4,Very Good,900
216,"Japanese, Sushi",4.3,Very Good,765
216,"American, Seafood, Sushi",4,Very Good,1270
216,"Italian, Mediterranean, Pizza",4.1,Very Good,502
216,Seafood,3.9,Good,724
216,"Caribbean, Seafood, Steak",3.5,Good,479
216,"Breakfast, Burger",4.2,Very Good,591
216,"Burger, Sandwich, Seafood",4.4,Very Good,1408
216,"Caribbean, Seafood",4.3,Very Good,905
216,Greek,4.7,Excellent,816
216,"Sandwich, Seafood, Cajun",4.4,Very Good,747
14,"Breakfast, Coffee and Tea, Modern Australian",3.7,Good,351
216,"Burger, Fast Food",3.7,Good,104
216,"American, BBQ, Steak",3.5,Good,83
216,"Asian, Thai",3.6,Good,91
216,"Pizza, Bar Food",3.6,Good,59
216,"Italian, Pizza, Sandwich",3.7,Good,222
216,"American, Breakfast",3.6,Good,121
216,Chinese,3.5,Good,93
216,"Coffee and Tea, Sandwich",3.8,Good,136
216,"Pizza, Sandwich",3.8,Good,160
216,"American, Greek",3.7,Good,152
216,"Burger, Pizza, Sandwich",3.5,Good,57
216,"American, Pizza",3.7,Good,191
216,"American, Seafood, Steak",3.6,Good,85
216,Mexican,3.6,Good,108
216,"Asian, Sushi, Vegetarian",3.6,Good,132
216,"Indian, International, Vegetarian",3.8,Good,141
216,"Desserts, Thai",3.7,Good,162
216,New American,3.6,Good,144
216,"Indian, Persian",0,Not rated,1
216,Mexican,4.1,Very Good,365
216,"American, BBQ, Burger",3.3,Average,9
216,Seafood,4,Very Good,542
216,Seafood,4.5,Excellent,691
216,"American, Pizza, Bar Food",4.7,Excellent,764
216,,4.7,Excellent,707
216,Seafood,4.5,Excellent,487
216,"American, Hawaiian",4.5,Excellent,695
216,Burger,4.2,Very Good,485
216,"Japanese, Seafood, Sushi",4.2,Very Good,807
216,Asian,4.6,Excellent,723
216,"Asian, Breakfast, Hawaiian",4.2,Very Good,874
216,"Breakfast, Burger",4.4,Very Good,552
216,"Hawaiian, Seafood, Steak",4.3,Very Good,1056
216,"Hawaiian, Seafood, Steak",4.3,Very Good,707
216,"Hawaiian, Seafood",4.9,Excellent,1343
216,Japanese,4.9,Excellent,602
216,"American, Asian, Burger",4.6,Excellent,1078
216,American,3.9,Good,232
216,"Hawaiian, Seafood, Steak",4.4,Very Good,1492
216,Breakfast,4,Very Good,535
216,"Asian, European, Seafood",4.2,Very Good,531
216,"American, Breakfast, Hawaiian",4.2,Very Good,694
216,Southern,3.3,Average,1201
216,Burger,4.7,Excellent,906
216,"Desserts, Sandwich, Ice Cream",4.6,Excellent,880
216,"American, Southern",4.5,Excellent,1014
216,"International, Mediterranean, Sandwich",4.5,Excellent,796
216,"American, Bar Food, Sandwich",3.7,Good,747
216,"American, Seafood, Steak",3.8,Good,566
216,"American, Breakfast",4.1,Very Good,683
216,"American, Bar Food",4.4,Very Good,690
216,"Breakfast, Vegetarian",4.2,Very Good,680
216,"American, Breakfast",4.1,Very Good,287
216,"Breakfast, Cajun",4.1,Very Good,802
216,"Breakfast, Diner, Sandwich",4.3,Very Good,710
216,"Coffee and Tea, Desserts",4.3,Very Good,456
216,"Pizza, Seafood, Steak",4,Very Good,687
216,"Cafe, Sandwich, Southern",4.3,Very Good,719
216,"American, Seafood, Southern",4.4,Very Good,1803
216,American,4.1,Very Good,558
216,Seafood,3.8,Good,883
216,,3.9,Good,309
184,"Chinese, Continental, Singaporean",3.4,Average,34
184,"American, Steak",4,Very Good,33
184,"French, Mediterranean, European",3.8,Good,33
184,American,3.1,Average,34
184,French,3.8,Good,35
184,French,3.9,Good,33
184,Bakery,4.2,Very Good,29
184,Italian,4.1,Very Good,35
184,"Italian, French, Bakery, Cafe",3.2,Average,29
184,"American, Japanese, Singaporean",3.2,Average,30
184,Cafe,3.7,Good,33
184,"Singaporean, Chinese, Seafood, Malay, Indian",3,Average,25
184,"Asian, Continental, Seafood",3.8,Good,30
184,"Chinese, Seafood, Cantonese, Dim Sum",3.9,Good,34
184,"Singaporean, Australian, German",3.1,Average,33
184,"Western, Fusion, Fast Food",3.2,Average,32
184,,,,
95,No,473,,
184,"American, Bakery, European, Burger, Fusion",3.8,Good,28
184,Finger Food,3.9,Good,35
184,"Cafe, Spanish, Turkish, Greek",3.2,Average,33
216,"Burger, Seafood, Steak",3.7,Good,100
216,"American, Pizza, Bar Food",3.6,Good,92
216,"Asian, Vegetarian, Vietnamese",3.8,Good,182
216,BBQ,3.6,Good,76
216,"Japanese, Sushi",3.7,Good,129
216,"Asian, Chinese",3.6,Good,94
216,Chinese,3.8,Good,129
216,Pizza,3.8,Good,178
216,Burger,3.7,Good,97
216,"American, Desserts, Diner",3.9,Good,161
216,American,3.7,Good,122
216,"American, Fast Food",3.8,Good,195
216,"American, Seafood, Steak",3.7,Good,146
216,Mexican,3.7,Good,117
216,"Caribbean, Mexican, Cajun",3.8,Good,187
216,"Japanese, Steak, Sushi",3.9,Good,239
216,"Asian, Thai, Vegetarian",4,Very Good,303
216,Pizza,4,Very Good,280
216,Italian,4,Very Good,271
216,"American, Seafood, Steak",3.5,Good,58
216,"BBQ, Caribbean, Seafood",4.6,Excellent,1321
216,"Latin American, Mexican, Southwestern",4.6,Excellent,1629
216,"American, Italian, Seafood",4.1,Very Good,921
216,"Spanish, Tapas",4.1,Very Good,986
216,"British, Bar Food, Sandwich",4.1,Very Good,1020
216,"American, Desserts, Steak",4.7,Excellent,3157
216,Breakfast,3.9,Good,665
216,International,3.9,Good,373
216,"Breakfast, Spanish, Tapas",4.4,Very Good,1007
216,"American, Burger",4.4,Very Good,803
216,"American, Seafood, Steak",4.2,Very Good,1363
216,"Italian, Deli",4.9,Excellent,1424
216,"Sandwich, Seafood, Steak",4.5,Excellent,844
216,"European, German",4.9,Excellent,1413
216,"Breakfast, Mexican",4.5,Excellent,1203
216,"Desserts, Bar Food",4.7,Excellent,3074
216,"International, Italian, Southern",4.8,Excellent,1715
216,"Mexican, Vegetarian",4.5,Excellent,1868
216,"Seafood, Steak",4,Very Good,875
216,"Cuban, Spanish",4.4,Very Good,1746
14,"Modern Australian, Australian",4.4,Very Good,339
14,Australian,4.1,Very Good,87
216,Bar Food,3.4,Average,98
216,Mexican,3.1,Average,83
216,"Seafood, Southern",3.9,Good,231
216,"Burger, Seafood, Steak",3.7,Good,216
216,"Asian, Chinese, Thai",3.8,Good,185
216,"Pizza, Sandwich",3.7,Good,185
216,"Burger, Bar Food, Vegetarian",3.8,Good,281
216,"Fast Food, Seafood",3.7,Good,137
216,American,3.7,Good,209
216,Mexican,3.7,Good,168
216,"American, Southern",3.9,Good,243
216,"Greek, Italian",3.8,Good,221
216,Mexican,3.5,Good,46
216,"Japanese, Sushi",3.9,Good,262
216,Italian,3.7,Good,183
216,"Japanese, Steak, Sushi",3.5,Good,208
216,"Indian, Middle Eastern",3.8,Good,245
216,Mexican,3.8,Good,199
216,Southern,3.8,Good,225
216,BBQ,4.1,Very Good,575
216,"Coffee and Tea, Mediterranean",4.3,Very Good,88
14,"Coffee and Tea, Tapas, Australian",3.6,Good,96
37,"Italian, Mediterranean, Pizza",4.3,Very Good,204
216,"Indian, Middle Eastern",3.2,Average,18
216,"Italian, Pizza, Vegetarian",3.7,Good,134
216,Desserts,3.9,Good,190
216,Chinese,3.8,Good,136
216,"Asian, Chinese",3.7,Good,113
216,"American, Breakfast",3.6,Good,69
216,"American, Italian, Seafood",3.6,Good,89
216,"Burger, Pizza, Sandwich",3.6,Good,80
216,"Japanese, Sushi",3.8,Good,175
216,"Coffee and Tea, Desserts, Beverages",3.7,Good,136
216,"Sandwich, Sushi, Tapas",3.6,Good,114
216,"American, BBQ, Steak",3.6,Good,93
216,"Pizza, Sandwich",3.6,Good,89
216,Mexican,3.6,Good,69
216,American,3.6,Good,86
216,Chinese,3.7,Good,73
216,Mexican,3.6,Good,104
216,"American, Bar Food",3.7,Good,101
216,Thai,3.5,Good,58
216,"Japanese, Steak, Sushi",3.9,Good,156
216,"Burger, Greek, Sandwich",3.9,Good,156
216,"Burger, Seafood, Steak",3.2,Average,16
37,Asian,3.3,Average,26
214,American,4.6,Excellent,207
214,American,4.6,Excellent,376
214,"Italian, Pizza",4.4,Very Good,471
214,"Turkish, Arabian, Middle Eastern",4.3,Very Good,224
214,"Fast Food, Burger",4.2,Very Good,228
214,Asian,4.6,Excellent,81
214,"Italian, Pizza",4.1,Very Good,422
214,"Thai, Japanese, Chinese, Indonesian, Vietnamese",4.4,Very Good,246
214,"Indian, North Indian, Mughlai, Biryani",4,Very Good,355
214,"Indian, South Indian",3.6,Good,268
214,"Filipino, Japanese, Asian",4.5,Excellent,162
214,"American, Mexican, Seafood",4,Very Good,205
214,"Pakistani, Afghani, Indian, Hyderabadi",4,Very Good,277
214,"Lebanese, Arabian, Middle Eastern",4,Very Good,380
214,Indian,4.3,Very Good,180
214,"Indian, North Indian, Chinese",4,Very Good,525
214,"Indian, North Indian",4.9,Excellent,216
214,Indian,4.7,Excellent,201
214,Chinese,4.2,Very Good,435
214,"American, Desserts",4.6,Excellent,586
214,"Mediterranean, Italian, Thai, European",3.9,Good,927
214,"Indian, Rajasthani",4.1,Very Good,1448
214,Indian,4.3,Very Good,1281
214,"Indian, North Indian",4.5,Excellent,307
214,"International, Indian",4.5,Excellent,909
214,"Continental, Indian",4.9,Excellent,641
214,Indian,4.9,Excellent,322
214,"Indian, Continental",4.8,Excellent,2510
214,"American, Burger",4.5,Excellent,1388
214,Cafe,4.5,Excellent,403
214,"Fast Food, Burger",4.3,Very Good,1351
214,"Asian, Chinese",4.3,Very Good,661
214,"Indian, North Indian, Street Food",4.4,Very Good,281
214,Indian,4.9,Excellent,1352
214,"Indian, Asian",4.4,Very Good,552
214,"Seafood, American",3.2,Average,506
214,"American, Desserts",4.7,Excellent,2424
214,"Cafe, Burger",4.3,Very Good,386
214,"American, Mexican, Burger",3.7,Good,500
214,"Goan, Chinese, Indian, North Indian",4.3,Very Good,544
214,"Indian, North Indian, South Indian, Chinese",3.9,Good,285
214,South Indian,3.8,Good,210
214,"Indian, Mughlai, South Indian, Biryani",4.1,Very Good,372
214,"Indian, North Indian, Chinese",4.3,Very Good,316
214,Lebanese,3.9,Good,69
214,"Fast Food, American",4.1,Very Good,33
214,"Pakistani, Indian",4.1,Very Good,449
214,"Pakistani, Indian, Mughlai",4.2,Very Good,504
214,"Pakistani, Chinese, Indian, Afghani",4.1,Very Good,192
214,"Fast Food, Pizza",2.4,Poor,154
214,"Bakery, Arabian, Middle Eastern",4.2,Very Good,142
214,"Arabian, Middle Eastern",4.2,Very Good,444
214,"African, Portuguese",4.2,Very Good,265
214,"Chinese, Thai",3.8,Good,227
214,"American, Mexican",3.9,Good,357
214,"Indian, North Indian",4.8,Excellent,459
214,"American, Mexican, Burger",4.1,Very Good,197
214,"Cafe, Bakery, Desserts",4.5,Excellent,143
214,,,,
